Age,Gender,MaritalStatus,Occupation,Monthly Income,Educational Qualifications,Family size,FoodDileveryApp,FoodDirectCall,TypeMeal1,TypeMeal2,Cuisine1,Cuisine2,Ease and convenient,Time saving,RestaurantChoices,EasyPaymentOption,MoreOffersDiscount,FoodQuality,TrackingSystem,PoorHygiene,BadPastExperience,LongDeliveryTime,WrongOrderDelivered,Missing item,OrderPlacedByMistake,Order Time,Maximum wait time,Google Maps Accuracy,Influence of rating,Less Delivery time,HighQualityOfPackage,Number of calls,Politeness,Freshness ,Temperature,Good Taste ,FoodQuantity,purchaseAgain,Reviews
22,Female,Single,Student,No Income,Post Graduate,2,Food delivery apps, Direct call,Lunch, Snacks,Veg foods (Breakfast / Lunch / Dinner), Ice cream / Cool drinks,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Weekend (Sat & Sun),15 minutes,Agree,Yes,Very Important,Very Important,Moderately Important,Important,Very Important,Important,Very Important,Important,1,NaN
25,Male,Single,Student,10001 to 25000,Post Graduate,3,Food delivery apps, Walk-in,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Agree,Strongly disagree,Anytime (Mon-Sun),45 minutes,Strongly Agree,Yes,Moderately Important,Very Important,Very Important,Moderately Important,Very Important,Very Important,Very Important,Important,1,NaN
25,Male,Single,Student,No Income,Post Graduate,5,Food delivery apps, Walk-in,Lunch, Snacks,Veg foods (Breakfast / Lunch / Dinner), Sweets,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Anytime (Mon-Sun),45 minutes,Agree,Maybe,Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Very Important,0,"nowNaNdaysNaNdeliveryNaN??NaNisNaNimprovedNaNaNaNlotNaNlikeNaNfastNaNdeliveryNaN,butNaNnowNaNcornaNaNtimeNaNmanyNaNpeopleNaNareNaNhesitatingNaNtoNaNorderNaN"
32,Female,Prefer not to say,House wife,No Income,Graduate,5,Food delivery apps, Web browser,Breakfast, Lunch,Non Veg foods (Lunch / Dinner), Sweets,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Weekdays (Mon-Fri),60 minutes,Agree,Yes,Important,Important,Slightly Important,Important,Moderately Important,Important,Slightly Important,Important,1,iNaNloveNaNzomatoNaNbutNaNitNaNrequiresNaNqualityNaNinNaNdeliverNaNservice.NaN
23,Female,Single,Student,No Income,Post Graduate,3,Food delivery apps, Walk-in,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Weekend (Sat & Sun),45 minutes,Agree,Yes,Very Important,Very Important,Moderately Important,Important,Very Important,Important,Very Important,Very Important,1,NaN
23,Female,Single,Student,No Income,Post Graduate,4,Walk-in, Direct call,Breakfast, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Weekend (Sat & Sun),45 minutes,Neutral,Yes,Moderately Important,Moderately Important,Slightly Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,1,NaN
30,Male,Married,Self Employeed,More than 50000,Uneducated,4,Food delivery apps, Web browser,Lunch, Snacks,Veg foods (Breakfast / Lunch / Dinner), Sweets,Agree,Strongly agree,Agree,Disagree,Neutral,Agree,Neutral,Strongly agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Weekdays (Mon-Fri),More than 60 minutes,Strongly Agree,Yes,Important,Important,Moderately Important,Important,Important,Moderately Important,Important,Important,1,preferNaNhygienicNaNdeliveryNaNpeople
23,Male,Single,Student,No Income,Graduate,3,Food delivery apps, Walk-in,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Weekend (Sat & Sun),30 minutes,Agree,Yes,Very Important,Very Important,Slightly Important,Very Important,Very Important,Important,Very Important,Very Important,1,NaN
23,Male,Single,Student,No Income,Post Graduate,4,Food delivery apps, Direct call,Lunch, Dinner,Veg foods (Breakfast / Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Anytime (Mon-Sun),30 minutes,Agree,Yes,Important,Important,Moderately Important,Important,Very Important,Important,Important,Important,1,NaN
22,Female,Single,Student,No Income,Post Graduate,5,Walk-in, Direct call,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Bakery items (snacks),Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Agree,Disagree,Disagree,Anytime (Mon-Sun),30 minutes,Strongly Agree,Yes,Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,1,NaN
